index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15220,-83.1209104,42.0990122,Ontario,379900.0,1,6,2,2,139,Freehold,40.88477325439453
15221,-75.724071,45.358071,Ontario,429900.0,1,3,4,2,119,Freehold,33.64325714111328
15222,-75.620139,45.233915,Ontario,975000.0,1,3,5,5,457,Freehold,70.05903625488281
15223,-79.985187,43.9053093,Ontario,1875000.0,1,3,4,4,63,Freehold,79.1731185913086
15224,-79.870746,44.756438,Ontario,1500.0,2,19,2,2,14,Condominium,46.690616607666016
15225,-78.94836509999998,43.9730711,Ontario,629900.0,1,3,3,3,107,Freehold,40.28878402709961
15226,-77.597707,46.158094,Ontario,174900.0,1,3,3,2,53,Freehold,76.76194763183594
15227,-79.50793940000001,43.7061114,Ontario,620000.0,1,3,3,2,19,Freehold,27.644014358520508
15228,-80.51954,43.460255,Ontario,425000.0,1,1,1,2,29,Condominium,31.56668472290039
15229,-79.835099,43.349394,Ontario,447000.0,1,6,3,2,71,Condominium,30.169328689575195
15230,-83.011208,42.253052,Ontario,489000.0,1,19,3,2,4,Freehold,42.2773551940918
15231,-80.945032,46.648941,Ontario,139900.0,1,3,2,1,73,Freehold,69.53659057617188
15232,-76.345827,44.990515,Ontario,229900.0,1,3,1,1,13,Freehold,59.91361999511719
15233,-75.892445,45.323535,Ontario,219000.0,1,1,2,2,86,Condominium/Strata,51.03789138793945
15234,-78.8311046,43.89049710000001,Ontario,475000.0,1,3,3,2,98,Freehold,31.98061180114746
15235,-77.250801,45.683764,Ontario,109900.0,1,3,1,0,43,Freehold,83.90448760986328
15236,-79.7042059,44.4211513,Ontario,549000.0,1,3,4,3,78,Freehold,43.64018249511719
15237,-80.531039,43.456084,Ontario,534900.0,1,3,3,2,82,Freehold,29.693174362182617
15238,-79.59538,43.57079,Ontario,799900.0,1,6,3,3,19,Condominium/Strata,30.53726577758789
15239,-79.550224,43.7929025,Ontario,800000.0,1,3,5,4,8,Freehold,34.933841705322266
15240,-79.943444,43.248286,Ontario,279900.0,1,1,3,2,63,Condominium,28.939855575561523
15241,-77.605735,44.566326,Ontario,229900.0,1,3,2,1,78,Freehold,46.92890167236328
15242,-80.5896902,43.4538097,Ontario,2600.0,2,3,5,3,33,Freehold,23.191343307495117
15243,-79.747929,43.75077,Ontario,599900.0,1,3,5,4,8,Freehold,29.059621810913086
15244,-78.747741,44.373063,Ontario,374900.0,1,3,2,2,46,Freehold,41.22140884399414
15245,-80.874768,43.915964,Ontario,189900.0,1,3,3,1,9,Freehold,31.166358947753906
15246,-80.555977,43.468341,Ontario,830000.0,1,3,5,4,43,Freehold,40.07307052612305
15247,-75.525904,45.468085,Ontario,384900.0,1,3,3,3,3,Freehold,36.389827728271484
15248,-81.000564,44.228568,Ontario,729900.0,1,3,3,2,112,Freehold,55.72487258911133
15249,-81.240199,42.992759,Ontario,2400.0,2,3,3,5,30,Freehold,23.254831314086914
15250,-79.620952,43.59834,Ontario,548000.0,1,6,3,2,16,Condominium/Strata,28.947174072265625
15251,-79.8362291,43.5227403,Ontario,2395.0,2,3,5,4,6,Freehold,21.338834762573242
15252,-79.915304,43.257252,Ontario,139900.0,1,1,1,1,8,Cooperative,30.85405921936035
15253,-79.4102447,43.7604625,Ontario,2950.0,2,1,2,2,33,Condominium/Strata,21.407447814941406
15254,-79.630865,43.221287,Ontario,465000.0,1,6,2,3,57,Freehold,30.75922393798828
15255,-80.61438199999998,43.992679,Ontario,434900.0,1,3,3,2,113,Freehold,43.350318908691406
15256,-79.3539119,43.6551919,Ontario,1950.0,2,1,1,1,7,Condominium/Strata,15.250334739685059
15257,-81.32555,42.99642,Ontario,829900.0,1,3,5,4,71,Freehold,49.13792419433594
15258,-80.29122199999998,43.17240200000001,Ontario,384500.0,1,3,4,1,12,Freehold,25.00572967529297
15259,-81.696428,43.558269,Ontario,474900.0,1,3,4,2,7,Freehold,38.07508087158203
15260,-79.65278327465059,43.833415717175896,Ontario,1148000.0,1,3,4,4,33,Freehold,42.930763244628906
15261,-73.558534,43.200812,Ontario,1299000.0,1,19,4,3,39,Freehold,142.46376037597656
15262,-79.408163,43.7696637,Ontario,4900.0,2,3,5,9,18,Freehold,39.44342803955078
15263,-78.37670200000002,44.306334,Ontario,689900.0,1,3,4,3,68,Freehold,42.96164321899414
15264,-78.355798,45.038407,Ontario,429000.0,1,3,3,1,56,Freehold,40.05043029785156
15265,-79.87451999999998,43.233233,Ontario,409900.0,1,3,3,2,19,Freehold,28.103147506713867
15266,-79.63431059999998,43.5922739,Ontario,389900.0,1,1,2,1,57,Condominium/Strata,28.345626831054688
15267,-80.74019399999997,43.129302,Ontario,259900.0,1,3,2,1,10,Freehold,28.32862091064453
15268,-79.275006,43.017369,Ontario,454900.0,1,3,3,2,65,Freehold,37.55276870727539
15269,-79.52633990000002,43.5902851,Ontario,6990.0,2,3,4,5,1,Freehold,30.10209083557129
15270,-80.35093499999998,43.393304,Ontario,499900.0,1,6,3,4,159,Freehold,27.915206909179688
15271,-79.23194079999998,43.83848010000001,Ontario,2200.0,2,6,3,4,9,Freehold,22.754676818847656
15272,-79.3790756,43.6546239,Ontario,1950.0,2,1,1,1,8,Condominium/Strata,15.250334739685059
15273,-79.312184,45.038993,Ontario,309900.0,1,19,1,1,12,Condominium,50.29188537597656
15274,-79.30577690000001,43.7546891,Ontario,829000.0,1,3,5,2,29,Freehold,28.255470275878906
15275,-75.757906,45.278966,Ontario,179900.0,1,1,2,2,36,Condominium/Strata,51.05571365356445
15276,-79.3850843,43.6601025,Ontario,1800.0,2,1,0,1,11,Condominium/Strata,15.796937942504883
15277,-79.68952417373659,43.4717086233184,Ontario,1999900.0,1,3,4,4,119,Freehold,53.527381896972656
15278,-79.725142,43.242559,Ontario,1659900.0,1,3,4,4,73,Freehold,54.46920394897461
15279,-79.890163,43.496597,Ontario,734900.0,1,3,3,3,49,Freehold,34.76679229736328
15280,-79.47280490000001,43.8109127,Ontario,1200.0,2,3,2,1,25,Freehold,25.74262046813965
15281,-79.413783,43.7696635,Ontario,2400.0,2,1,1,1,17,Condominium/Strata,18.96532440185547
15282,-81.747215,44.064972,Ontario,329900.0,1,3,3,1,91,Freehold,42.37446212768555
15283,-76.159653,45.140176,Ontario,279900.0,1,3,3,2,12,Freehold,54.80912399291992
15284,-75.509367,45.469616,Ontario,359900.0,1,3,4,2,37,Freehold,36.389827728271484
15285,-81.310929,42.934873,Ontario,489900.0,1,3,4,3,9,Freehold,31.389921188354492
15286,-77.35654,44.178057,Ontario,329900.0,1,3,2,1,71,Freehold,38.16195297241211
15287,-79.796467,43.685644,Ontario,644900.0,1,3,3,4,36,Freehold,27.888391494750977
15288,-79.700446,44.405588,Ontario,375000.0,1,3,6,3,94,Freehold,42.25135040283203
